10.12.2021 03:00;15,0496;29,0199;29,6466;26,1323;25,1927;21,791;24,91;14,7612;31,8614;22,3253;28,0379;13,811387;18,751163;14,9;10,35004;36,652285;8,9;22,463673;17,4;12,893184;13,3;23,665918;14,139856;8,686367;19,7;8,51285;13,3;11,8;8,3;14,3;17,7;19,9;19,9;17,9;18,5;20,3;17,7;21;16,6;21,7941;14,647;8,7;18,8;18,8592;29,0879;29,7045;30,6572;30,549;28,6827;20,3819;30,1937;10,3136;30,1249;20,7186;16,8107;13,6049;15,0857;22,1986;43,8857;14;8,786688;7,140016;7,83336;8,480032;12,90008;15,07;21,480112;9,360064;11,56014;10,320128;5,860064;11,073376;25,6526;33,2088;23,116;14;9,6;10,4;10,1;10,2;24,7078;4,6081;12,3898;0,82341;15,8932;16,9586;10,3672;13,3124;16,439;14,0087;13,3471;14,9235;12,3851;9,14201;8,83647;17,2664;12;18,2;16,8;15;35,9138;26,359;26,4403;27,7825;33,5615;31,9936;41,5038;34,9875;37,4161;30,7481;30,0104;36,2372;32,0982;29,4406;13,0653;33,2555;9,80166;10,1299;13,9119;14,3387;15,5849;10,687;;18,1381;24,6379;20,3465;22,6634;14,4697;26,5457;33,9555;20,6393;19,7079;14,4298;22,074;23,7434;21,0888;12,9928;26,2534;19,7579
10.12.2021 04:00;12,9437;24,9447;28,5727;27,4053;28,0503;21,0251;27,4693;19,6107;30,8963;22,005;28,0666;14,104571;17,218204;14,5;10,223897;38,845469;9,6;24,102326;16,8;14,126143;13,8;20,659102;12,006897;8,479551;20,3;7,00158;15,4;11,8;7;14;20,6;19,3;19;22,7;19;21;19,3;19,4;17,4;21,9869;13,8243;8,8;17,9;17,0556;28,3226;27,904;26,7729;29,5436;31,8003;23,3222;31,1661;10,7534;30,6661;22,5393;16,0704;17,038;18,4428;21,811;37,9867;17;9,080032;7,340016;8,226704;9,126704;13,886768;14,03;20,293424;9,853408;12,22021;10,573456;5,920048;11,920048;28,0532;34,0416;23,4988;14,2;10,9;11,4;10,9;11,1;18,552;4,71686;12,0461;0,64496;16,225;18,9844;10,2309;16,6011;16,9593;11,5345;14,7111;14,4888;11,1108;9,01554;8,57768;19,9887;12;19,1;18,7;15;35,4738;27,3984;26,4245;28,1083;32,4911;31,4912;35,6438;32,6331;38,3359;31,2925;30,2341;33,2847;33,1429;30,1113;12,2612;31,5199;10,8458;9,11812;14,5339;14,9922;17,8581;11,0593;11,8091;18,3681;21,1588;19,3386;22,7255;14,4088;24,5364;32,2592;19,1702;20,7787;16,781;;21,5499;19,4323;12,1663;26,0861;19,8386
10.12.2021 05:00;20,528;28,3555;26,2295;27,571;29,29;18,1242;28,1532;18,1066;33,9079;26,1227;29,0093;15,309142;19,135285;14,2;11,082999;38,745469;9,1;20,940978;16,9;12,939775;15,1;17,079551;10,667121;8,372735;20,5;6,00682;15,2;11,4;6,8;13,8;18,6;19,2;20;18,3;20;18,2;20,6;17,5;16,9;20,8467;13,5327;8,2;18,1;18,3685;26,4114;27,7277;24,362;32,795;32,3266;25,9262;29,0661;9,14095;30,7092;26,4456;13,9119;19,5837;23,0646;26,3024;37,3939;16,3;9,680032;7,940016;8,880032;9,426704;16,13352;13,59;20,63344;10,986768;14,35365;12,686848;6,813392;12,373376;29,8059;34,9041;26,772;14,6;13,7;13;11,8;12;21,7134;3,98222;11,8703;1,15907;17,8001;20,9172;10,8412;16,2196;12,164;11,6301;10,4744;13,7024;12,0179;9,49326;9,16752;14,9124;10;22;24,7;24;39,9678;26,8774;27,5036;28,066;33,774;32,479;40,1135;34,3751;40,7665;30,9585;29,5091;36,1352;36,7694;29,9715;14,3405;32,752;9,9902;8,9455;16,1437;15,5721;15,1404;12,3749;12,6419;18,9567;21,4459;21,4203;23,0202;15,4711;21,5943;31,1741;17,629;20,9465;16,4411;17,494;17,9175;19,4334;12,7312;25,983;19,0602
10.12.2021 06:00;17,2744;28,2169;26,3861;27,5854;31,6536;17,149;30,9495;17,4295;45,896;26,8275;30,0428;18,243384;21,641059;14,9;11,806897;39,685245;10,1;21,38765;19,4;16,421652;16,6;19,646672;12,23761;8,679551;19;5,70074;21,1;11,6;7,5;15,4;18,3;20,3;23,2;27,3;23,9;19,5;22;20,7;21,4;22,4844;12,0785;7,7;17,8;19,9698;27,0071;29,7167;29,1786;43,4141;33,793;28,5361;32,9273;10,7582;31,3438;26,2263;9,02676;26,4658;26,1928;29,3052;42,5378;13,9;10,880032;8,886688;9,726704;10,220048;17,826945;16,21;23,673617;11,853488;16,34042;15,080273;8,780112;13,706736;30,5011;34,2098;29,7789;15,4;15,5;13,5;12,9;12,5;19,454;5,21588;13,1769;2,9282;18,5049;29,0137;12,1488;16,1059;14,3624;14,2521;11,2874;14,0127;11,664;9,72973;9,69306;16,9263;13;26,9;31,8;22;42,209;27,1957;28,8776;28,5321;32,236;32,9629;45,6488;36,7571;44,146;33,3044;33,1955;31,8029;40,7107;30,6069;16,6987;33,221;10,7986;9,67313;17,0062;17,1242;16,5834;13,6719;13,312;21,2098;24,1909;21,6788;24,3949;17,0854;22,6697;35,2854;19,6988;22,6577;17,0922;18,3101;17,2681;20,2592;13,6282;24,9311;19,6786
10.12.2021 07:00;12,5767;27,015;25,6484;31,7987;32,084;19,3988;31,3914;25,317;49,2653;26,3527;32,4604;22,242422;21,959262;13,6;11,917161;41,104571;12,2;19,420609;20,3;13,863673;17,4;24,013713;17,344507;8,865918;16,6;6,25551;25,4;12,8;8,9;15,3;22,5;20,3;24,8;33,6;23,7;19,5;20,5;22,5;24;23,6318;13,9624;10,9;18,7;21,8844;28,9014;29,1994;29,7363;49,7699;38,1768;31,002;35,3794;14,7734;33,8178;27,2094;9,74536;26,5943;29,107;36,6697;25,3069;13,6;12,520048;10,286688;12,160064;11,153408;17,886929;19,52;27,227346;13,83352;20,65413;17,693825;11,060225;17,146832;32,7812;37,4008;32,2911;15,5;17,3;14,5;14,3;14,1;17,516;5,06811;18,8927;5,314;26,2619;32,8531;19,4394;16,6399;16,5804;17,9935;13,6591;12,1422;14,4261;10,0874;11,8048;15,9023;11;30,1;31,6;20;43,3224;29,4963;30,5015;31,0322;33,6657;36,2754;59,697;34,3953;36,0486;36,0763;38,8242;22,6206;28,355;37,2819;27,1244;33,7415;13,2757;11,1799;19,0807;17,2072;17,1082;15,4176;13,8882;20,2313;27,8614;22,8966;25,9564;17,8356;20,0207;37,198;24,757;23,1809;17,9855;19,6012;18,6698;22,1176;15,0694;;20,4706
10.12.2021 08:00;20,0834;28,5632;24,3849;33,2401;34,0235;20,5025;30,7901;28,3583;51,6405;25,8855;31,3122;25,144828;22,712751;13,9;13,356937;41,410265;11,9;19,682037;20,7;18,119407;19,7;26,705854;15,942261;9,072735;15,8;7,49896;30,9;15,3;10,5;18,7;22,7;23,7;25,6;31,6;23,6;19,4;20,3;25,4;25,6;25,0998;14,7272;11,1;19;23,8288;30,4168;33,2385;29,6422;57,301;47,9163;36,1543;40,144;19,1511;34,2665;34,4888;11,8422;30,3615;32,7069;41,0092;25,1853;14,4;15,140096;11,126704;14,346752;12,573456;19,593825;20,53;26,333921;18,473697;29,10281;19,15405;15,600561;19,580273;34,6161;36,0582;33,6807;16,2;18,8;14,7;15,6;17,1;25,7823;5,04304;27,7277;6,3847;29,3006;42,3063;23,6252;19,968;20,0844;19,0003;15,8393;15,6574;14,2689;10,8882;14,203;20,2395;12;29,3;30;26;58,4299;34,04;33,6034;37,6096;35,1808;37,8252;76,5594;30,2611;34,5838;38,9496;38,9862;18,2081;33,1828;36,6148;29,3359;28,8765;15,0289;13,4286;19,7557;19,7191;19,999;19,2177;14,32;23,1661;28,6679;24,716;26,8434;17,9583;22,7917;38,9262;24,1196;25,3738;19,581;21,886;23,0665;21,2418;19,7618;31,667;19,8412
10.12.2021 09:00;19,6309;25,2522;20,9741;29,5786;35,7825;20,0388;28,0021;23,0371;54,4548;26,5364;32,3834;27,226624;23,577626;15,1;17,743464;41,015958;12,1;19,538893;20,2;18,993344;18,6;21,916038;15,396872;8,81251;15,9;8,2259;30,9;14,4;12,5;15;17,7;25;24,6;33,8;23,2;16,7;23,2;23,6;23,9;24,7896;15,9073;10,1;19,6;24,1454;33,9028;27,8116;28,023;50,548;46,5859;38,077;39,0595;18,6237;37,0315;32,7005;13,4918;32,8317;36,5266;40,3804;31,2761;15,4;12,30016;10,846752;17,500321;13,853488;19,874018;20,19;24,640658;16,146913;32,25044;21,047955;18,994387;23,440497;33,6049;25,7812;28,6897;16,3;17,6;15,4;15,7;16,5;31,8929;4,50386;29,4968;6,4808;29,69;40,2299;20,8417;22,2896;20,5015;21,2045;15,0531;14,6116;16,9694;11,5125;12,3861;20,0419;12;28,2;31,9;23;42,9265;35,7762;35,6519;39,1041;32,265;36,0699;67,9108;31,1975;37,507;40,1552;35,8327;11,6244;36,2297;34,1149;29,7852;24,0662;14,7187;12,5459;19,8906;17,5726;20,1222;20,3814;14,2209;21,575;28,4498;22,0551;27,0096;16,8411;22,5656;37,8677;25,1614;25,026;21,7793;21,5137;23,8366;23,0327;23,1565;28,6805;20,0324
10.12.2021 10:00;11,6791;23,2202;15,4591;26,7239;34,233;18,4179;26,8496;19,9042;50,2957;26,4053;31,1417;21,946993;22,893585;12,2;14,722935;41,301203;11,8;16,800241;14,3;13,664876;14,9;19,420609;17,739054;8,945469;15;8,11112;25,5;19;10,2;14,3;17,3;23,3;25,4;;29,2;19,4;21,6;32,1;24,6;26,0503;12,4121;8,1;17,6;20,5434;29,1431;24,9314;25,1604;52,3166;44,6749;39,2284;48,9079;24,2409;34,6277;31,6335;17,6525;36,1554;42,1909;35,8475;32,2581;17,5;12,506977;9,320128;18,260545;15,306897;18,560626;16,61;22,527426;16,587089;36,29086;20,714515;19,45437;22,067201;30,2037;19,5332;24,4892;16,2;15,5;13,7;14,7;15,4;21,0444;5,64669;29,7513;7,8171;27,6494;49,0323;24,5535;20,0004;19,4892;19,9181;15,1251;;18,5508;10,0565;12,0641;19,7995;11;27,2;27;23;30,9895;31,5353;31,2283;37,8628;38,255;33,4292;57,4406;25,0908;33,2454;41,7491;30,3397;10,1798;31,9357;31,9506;23,6313;15,2068;14,3251;11,9038;20,2284;15,8488;19,3956;17,2988;14,124;19,1978;26,1098;27,5964;26,5249;17,0475;19,6133;34,6943;22,3903;22,2971;19,24;22,3608;20,7795;19,9889;22,3867;31,8359;19,3091
10.12.2021 11:00;9,90204;21,8106;12,9942;22,0868;34,8646;15,8802;27,5394;17,1756;52,5465;24,1682;32,8853;17,677466;18,7332;15,4;17,191179;39,665998;10,2;17,240016;13,9;14,829671;14,7;23,34563;21,068725;8,203448;17,8;9,25892;27;19;11,1;18,3;21,5;26,8;31,7;;29,8;23,7;24;31,4;28,2;25,317;13,512;7;16,3;17,7269;27,8341;24,0232;27,6968;57,5167;44,19;38,2273;46,562;28,3853;33,2038;31,1327;17,5644;39,9093;50,9229;31,2675;26,3484;16,6;13,960305;8,13344;18,260465;14,026864;17,320449;17,32;21,400642;19,860385;33,55004;17,867442;18,78757;19,653729;26,9952;17,0529;19,8567;16;14;11,1;13,9;16,9;17,7921;6,35827;26,1105;8,8278;28,2684;55,3321;39,2083;16,3891;16,6362;15,9629;15,1838;12,0551;14,44;8,08455;10,5837;18,6813;14;23,7;25;21;33,069;30,6403;29,4066;34,9964;35,6277;27,5461;51,6899;20,2306;32,6053;38,427;35,252;9,65985;28,4134;31,9405;17,5357;11,4869;13,4206;11,3982;19,8721;16,0802;17,1028;13,7537;13,6932;19,4423;25,3792;25,1673;27,1961;20,326;16,4929;36,6116;21,8266;21,1154;19,8099;20,3734;20,4003;21,4691;24,5085;26,4403;16,022
10.12.2021 12:00;6,92197;24,5575;11,2797;22,313;37,2412;15,5153;29,1753;9,61046;59,9954;20,3283;34,4771;17,792221;20,829751;16,3;15,646913;36,764876;11,5;18,134322;16,4;18,281957;14,8;27,67514;23,672013;9,696632;13,7;9,46935;28,3;21,9;14,7;22,8;27,5;23,8;33,6;37,4;28,7;24,4;31,7;33,4;31,7;27,2741;16,0794;7,7;15,3;17,5405;33,1754;24,4768;30,3497;61,2631;48,9137;47,5621;56,4938;24,2122;38,2706;30,5665;20,7516;46,519;54,295;26,1075;20,2438;12,8;12,086929;6,740096;19,120449;16,780273;18,347153;19,94;24,100561;20,267121;44,03224;18,867362;14,773777;19,633841;25,9994;13,7112;21,4258;15;13,8;9,3;13,3;31,2;23,0257;5,99249;27,6178;10,2969;34,0871;58,6932;42,4099;18,8292;17,0666;15,6783;16,1368;12,1608;12,4292;6,62695;10,106;17,6325;15;29,8;28,7;24;26,5325;30,361;25,787;35,9246;11,3218;29,9164;55,9579;21,724;26,5602;36,7768;29,7446;10,1272;25,3537;32,2159;20,784;10,6302;13,6044;14,5163;18,3122;15,9368;16,8229;13,9703;13,4186;19,2186;25,1885;23,4599;27,8594;21,3766;18,0304;36,2999;22,9555;22,7454;17,4815;20,8966;18,1403;19,3149;21,5476;30,695;15,9705
10.12.2021 13:00;5,39821;22,9334;9,84999;19,7122;34,6449;14,1276;28,1728;10,8155;49,7008;21,271;32,6159;21,043384;23,509302;20,6;17,969767;38,678508;14,5;23,69575;20,4;18,433039;18,8;39,224058;28,950361;12,403448;15,5;9,62239;33,6;20,9;14,9;24,9;33,8;27;33,2;38,1;28,1;21,3;35,3;33;29,3;29,3604;16,7066;9,4;15,4;18,2713;30,7505;26,0244;38,8842;68,0035;47,8871;49,8777;65,3585;24,2139;33,2049;32,8652;16,1893;53,1977;59,6693;16,7326;16,4443;14,2;12,026864;6,10008;18,413713;16,320289;21,833921;25,01;29,767201;21,993905;46,13312;20,600722;16,293905;20,840417;26,1189;12,4211;22,2883;14,8;12,6;8,4;14,5;20,2;17,1701;;24,0317;8,8733;34,4229;60,3704;41,6542;22,3236;20,0796;17,7638;20,9977;13,1641;14,711;8,53357;10,9445;17,8467;20;32,3;29,2;27;26,0711;35,192;28,4798;27,8122;20,6426;30,618;59,6398;19,2092;28,3212;26,7632;27,3772;10,2775;32,743;40,5195;21,4282;11,3913;14,1398;17,9075;18,8051;16,4864;16,311;13,2544;13,764;19,2881;28,9184;23,3066;28,4699;22,4869;20,2914;37,685;23,4947;23,149;16,841;17,4401;15,9934;21,6008;23,2833;35,9992;17,0779
10.12.2021 14:00;5,08698;16,5802;11,6048;23,9945;33,2459;18,0206;27,2735;10,6382;52,1891;21,5397;29,5735;25,082037;27,427506;28,3;19,757177;45,088773;20,3;27,142342;24,6;26,052366;28,9;51,174098;33,065116;13,890938;17,5;9,87108;34,4;23,7;17,9;21,6;34,5;27,4;34,3;44,7;28,5;26,8;33,7;34,2;29,4;31,2718;17,5803;12,7;16,5;20,0112;30,595;27,6364;47,9932;78,7282;60,0745;50,284;70,0886;23,0891;34,6319;32,3595;13,0521;48,7719;59,7962;14,792;20,776;17,9;12,93344;7,306736;23,033761;19,866961;23,807217;28,27;36,280754;23,660626;52,71949;23,267442;21,940818;22,653649;26,1492;16,1968;25,2275;15,4;11,8;7,4;15,4;18,7;24,0443;5,76802;21,9338;9,4942;36,6418;57,032;34,5958;25,6273;22,6928;21,3179;24,5895;13,7417;18,8053;11,5636;11,5917;20,2661;18;34,6;29,5;30;35,1339;32,4328;29,961;24,4777;18,968;29,6817;72,3258;23,1883;36,1944;25,7127;28,5355;9,41288;35,6418;33,5885;26,8312;15,0352;13,3001;20,8238;18,7859;16,9876;17,9053;14,9619;13,5011;20,1788;31,0691;24,3688;30,1524;25,2722;26,5946;40,3012;26,6468;24,3961;19,9092;22,5244;20,8901;22,56;26,14;32,0731;17,3434
10.12.2021 15:00;6,97933;9,81759;16,704;22,1272;36,3388;23,3705;27,2379;10,9106;56,5113;25,0074;35,2923;28,454771;31,204731;32,9;21,67081;44,204651;24,9;30,02077;29,3;31,271692;31,8;58,172975;39,34595;17,171612;18,2;11,55452;38,7;28;23;23,6;32,4;26,4;36,7;45,4;33,8;31,2;39,9;42,4;34,6;37,3493;23,3296;13,9;20,9;26,3383;39,673;35,363;53,7456;81,0646;60,4835;46,4584;72,2794;32,9318;46,191;38,1715;12,7605;38,4216;53,4558;18,154;23,9117;20,6;14,213392;8,220048;26,767041;21,480192;30,440658;35,54;39,433761;25,85405;57,5668;28,45429;22,760385;28,847073;35,3183;24,7758;29,0405;15,4;12,8;7,2;15,9;21;23,9088;6,5368;26,076;12,7823;39,1703;49,9533;35,1232;28,7747;25,1754;23,7951;25,2629;15,3364;24,6448;15,2121;14,5335;22,5102;19;36,1;34,7;31;52,6299;37,7444;37,9596;27,9131;10,5751;27,1074;74,9186;36,4342;30,4635;29,9839;33,8323;9,59558;30,5214;35,5473;27,3395;26,0919;15,2094;21,6699;18,0737;17,6368;21,3045;17,4443;12,9091;24,3616;35,8992;29,3511;31,4027;25,0197;29,8417;43,592;29,7662;29,6126;20,0176;25,8125;24,2606;26,847;29,7206;40,3974;19,1019
10.12.2021 16:00;4,56224;20,2035;17,7604;38,4333;43,3214;25,487;34,0571;20,289;63,0524;31,9341;42,465;31,189976;36,48316;39,7;21,25822;46,652366;31,4;36,111708;35,5;37,618284;38,8;66,429751;42,584603;21,292061;22,2;10,96149;42,4;32,4;23,6;30,5;42,7;32,2;47,2;57,5;39,8;40,2;47,2;50,9;42;39,4913;26,0207;14,7;25,5;39,9996;41,9867;41,9227;60,9935;71,2247;61,8054;43,7083;64,9968;25,1739;52,4624;46,9688;13,1078;36,8092;49,6302;46,4338;26,4499;25,6;17,026704;9,76672;29,0668;26,140337;30,193665;41,53;45,607137;29,294387;62,3684;32,594226;29,260465;34,540497;43,3423;28,2392;32,8423;14,2;17,1;6,2;14,9;24,2;20,6574;5,44685;29,5632;15,0353;37,1874;64,6939;35,7075;32,8117;28,043;26,6562;26,1369;16,9136;27,9091;19,8692;17,5263;26,2129;21;38,6;40,9;35;65,9484;50,6919;54,8818;47,4082;37,647;45,0117;78,8813;45,274;42,0233;46,3745;46,997;11,0923;34,5674;43,9983;27,7808;44,3701;15,3831;23,4162;18,5485;16,9704;21,3581;21,9938;12,1737;31,2823;41,1367;34,7031;36,7958;25,3618;32,1142;53,0098;32,5832;33,306;25,0376;31,1279;29,9682;32,4211;32,2628;43,0582;22,1394
10.12.2021 17:00;5,36582;11,703;14,3724;46,2215;37,0435;31,377;32,4452;32,1269;60,9875;37,9187;44,2038;32,186528;37,697915;40,6;25,051403;51,706897;34,8;36,612751;37,6;42,311468;40,1;67,377466;39,948035;23,579551;27,3;12,89362;42,2;32,7;24,5;39,2;44,6;37,7;50,4;64,8;47,9;44,1;50,9;47,9;47,4;37,2096;30,797;17,8;25;45,3601;45,4576;43,3535;61,7964;68,2239;61,2546;40,4924;61,4628;25,2743;48,7345;44,4694;12,0865;34,7453;55,9239;57,011;36,1166;31,1;20,280032;9,840016;33,340176;26,847153;35,733681;44,87;50,100802;29,254852;63,93456;36,307939;28,060385;37,347153;34,8312;36,9032;34,8811;12,7;23,4;5,8;13,4;23;17,0217;5,36973;28,9163;14,9832;35,2951;72,1953;35,5387;33,8606;28,8066;25,9425;27,2273;17,6017;28,0589;24,1102;18,4153;28,23;24;38,4;36;31;64,9946;56,9222;61,0302;56,2217;54,0307;62,1233;88,1458;49,8989;51,1946;50,0016;53,2437;11,1932;39,7183;48,7692;29,9422;47,5769;12,7175;25,0483;18,6085;16,6734;21,0607;23,1549;11,381;38,892;;40,4503;;30,1138;;;;36,5505;25,4307;30,6844;30,0939;34,6635;31,8245;39,8509;23,1416
10.12.2021 18:00;5,1316;13,6729;11,9569;40,0877;38,1406;31,3616;27,1698;19,4424;65,3846;32,6378;45,7515;31,028549;36,155814;37,7;27,660465;54,743224;33,8;31,111548;37,5;39,739856;36,5;64,734242;36,816199;23,579551;25,9;13,18057;43,2;30,6;20,3;37,6;46,6;44,3;50,9;67,4;48,4;44;50,3;44,5;48,8;33,9603;28,7676;16,2;10,3;43,1942;45,0697;46,1164;55,6565;69,7848;55,5128;37,574;59,1366;24,7548;43,8101;40,3395;9,48883;30,8687;48,764;58,3947;30,9494;33,2;21,13336;11,586688;38,533761;27,874579;39,307217;43,74;47,85397;27,568244;56,79374;40,922374;29,187249;35,520369;36,099;32,9862;39,9799;11,4;20;5,6;13,8;22,9;20,2883;6,4313;27,0548;14,066;37,8131;61,9893;33,8121;36,1902;27,9898;26,667;27,5065;17,624;29,7493;27,7396;24,9062;26,4754;25;34,3;34,9;27;81,0247;57,9246;54,2014;54,9361;52,5268;67,2844;77,4161;47,0919;52,6667;52,6787;54,5702;9,57326;37,8292;49,2499;27,8394;41,7848;13,205;23,5941;19,4174;15,6373;20,8636;20,2481;10,6559;;43,3853;;41,1605;;33,1938;58,0673;37,918;41,2296;24,446;29,7279;29,4791;35,3141;29,3211;42,3694;23,8086
10.12.2021 19:00;6,87948;16,7746;12,9235;32,196;40,2367;25,3983;25,5659;61,0188;70,548;34,1473;42,8596;33,105854;38,104731;40,9;29,165116;55,563673;31,8;33,454771;36,5;38,867121;35,2;65,223015;35,493504;24,219326;27,9;14,59619;39,2;30,6;22,6;34,7;47,3;43,8;52,5;62,1;49,6;44,3;43,1;41,1;49,6;33,2438;27,6438;18,2;12;44,6027;47,6435;41,9583;49,5756;56,7737;47,3172;40,0612;54,2811;27,1735;38,6854;36,9212;6,675;28,1935;38,8396;54,2127;21,4829;31,4;17,726704;13,586688;40,920449;25,034643;40,381315;43,43;48,527426;27,015076;56,43488;32,648516;29,800722;35,420529;32,3233;32,2639;47,5079;11,8;18,6;5,8;10,2;23,5;16,5832;5,38809;22,8633;12,0573;41,6008;44,6595;31,0468;35,8108;29,0245;27,6689;26,6765;17,1979;32,5205;27,8458;24,6809;28,5;25;34,3;32,6;28;51,5649;61,4134;49,0938;52,999;45,2719;63,6361;77,7706;46,5004;60,3742;51,0966;63,685;8,54027;48,3598;48,7852;28,0469;40,4319;12,0042;27,2263;18,8741;16,9125;23,5904;19,701;9,69629;41,9516;43,336;36,1804;42,6757;32,8175;33,4064;57,6165;39,3681;41,0538;22,414;29,5749;28,9652;32,3059;30,5921;36,8084;22,8702
10.12.2021 20:00;6,57728;16,3131;13,3107;26,2773;38,1222;26,1694;22,9818;55,8166;54,7825;31,0371;41,2541;37,531034;39,609302;39,4;27,294467;59,060305;33,4;35,242181;32,7;39,314836;43,2;61,03769;36,078669;28,532959;22,6;11,87973;35;31,8;27,2;33,9;46,7;44,9;52,5;60,9;52,3;41,4;37,6;41,3;50,2;32,5056;27,2694;20,4;8;44,769;49,6663;37,242;44,8104;57,0907;42,7661;37,0986;51,6091;19,9079;36,7968;37,8911;6,41848;26,699;37,2532;46,1552;20,913;31,7;17,473376;15,726704;40,181075;23,315958;31,861187;44,82;51,161187;24,514515;50,51267;31,054691;28,034002;33,800401;27,12;34,6093;45,2633;11,9;21;5,3;8,7;24,9;20,5429;4,62477;22,1347;13,0702;36,5683;48,0359;30,7829;35,1237;34,7985;33,1477;28,8595;19,8931;35,2151;28,8672;22,5394;32,9748;24;34,6;33,6;27;43,8634;60,7182;47,6327;48,2909;48,4716;59,067;77,8736;49,0975;60,6029;45,1657;64,1635;7,75345;47,219;50,3048;27,9391;38,5698;13,059;26,5269;17,7269;14,8007;26,4515;19,4318;9,06935;40,9971;43,4226;41,7161;42,9149;31,7083;32,8746;56,7136;37,8319;39,5874;23,1745;31,3557;31,4205;32,2469;33,2862;38,1885;21,7867
10.12.2021 21:00;5,76043;16,3651;9,99445;25,1566;36,2039;25,2851;19,7955;22,1426;56,1459;29,1962;42,9701;35,725341;37,931997;37;26,097915;58,611468;31,8;36,795589;34,8;39,720529;39,4;59,019407;33,055894;30,332959;24,9;13,04666;32,8;33;23,3;37,7;45,2;45,4;44,5;48,9;48,8;37,1;36,7;39,4;45,1;30,4911;24,4694;20;13,1;42,8256;46,7372;33,3315;43,9062;51,3558;45,1859;35,7794;47,1589;20,2656;32,9961;38,2055;6,92994;34,5036;50,3053;46,4122;37,2102;31,3;18,020048;17,780032;34,54154;22,417161;30,741059;43,25;50,767843;22,574178;53,19447;27,394226;27,520529;33,140257;19,7079;33,5551;41,1972;12,3;20;4,8;8,3;23,1;15,6949;4,23907;24,2817;11,9086;30,9838;36,1641;27,8916;34,4096;36,6972;33,6177;28,9961;21,0781;37,1053;34,4064;20,5605;35,0478;22;32,9;35,3;31;46,9722;48,9159;44,0408;42,3316;46,6888;58,3564;70,8004;46,5004;56,6313;44,5576;51,4291;7,26241;51,2968;48,1909;35,7262;37,7578;12,864;28,5451;17,0136;13,9052;29,1373;20,4749;8,92572;39,1692;40,6481;39,3849;41,6447;28,6653;30,272;53,8828;36,7531;39,7882;23,0624;30,404;29,9428;31,1098;33,1588;37,3206;20,2801
10.12.2021 22:00;5,76521;10,3954;9,62958;27,1955;34,2213;26,8004;20,597;10,2446;54,3887;30,8777;37,8703;31,235445;34,251243;37,5;25,697915;60,839936;31,7;34,846672;38,4;40,095509;38,4;59,41259;30,740096;27,326143;23,4;15,89703;32,8;29,9;28,4;37,7;42;41,4;41,4;43,9;45,7;36,5;36;37,5;40,4;31,1082;25,0201;20,9;11,4;38,1444;45,385;30,0598;45,1655;49,054;45,137;36,2085;46,4935;23,7072;32,7003;36,7439;6,91772;31,7626;44,9596;40,4936;33,4265;29,7;21,040176;16,180032;28,201764;21,970008;27,873697;41,9;47,707538;20,940738;53,50914;24,467041;25,566881;32,566881;22,9901;36,0577;38,9467;14,5;16,3;3,6;8,8;22,8;13,9488;4,03395;27,6433;10,2022;27,3872;39,5117;25,5218;35,1413;39,1766;36,9318;34,3641;23,3184;35,4936;38,2111;18,7825;35,6902;21;32,3;35;31;43,8312;53,8791;40,8302;35,6714;43,8638;51,6745;58,3967;44,1274;51,3538;43,2585;48,8181;6,4052;49,7375;47,0724;26,8238;37,2643;16,0491;23,2287;17,4353;13,809;28,0798;19,3526;8,92811;37,3366;40,8135;38,0006;39,9947;26,2219;31,3226;51,7164;35,4411;37,1688;21,8727;28,0862;29,0027;28,1027;30,8695;34,7957;18,1984
10.12.2021 23:00;5,55383;18,2702;9,27904;22,6524;34,0093;30,2733;20,0269;8,68845;41,1022;30,6371;32,4828;28,545549;34,877386;37,1;24,37514;58,053488;33;34,17506;42,6;39,336488;38,2;57,796712;31,588853;22,139775;21,9;20,96648;30,8;26,7;23;39;42,1;39,6;40,4;41,9;42,7;36,3;33,9;36,4;39,1;32,4465;23,5001;18,4;5,8;34,9317;46,3561;39,2762;43,069;45,1907;43,1549;34,6024;42,4984;17,6399;36,1738;36,806;6,42591;27,4648;30,2781;38,3559;28,1627;29,5;22,140417;15,43336;27,174739;19,82101;29,126945;38,4;43,333681;19,413793;49,12053;27,560545;27,987169;34,486929;23,2615;33,0128;41,788;13,2;13,7;4,2;9,3;23,4;16,241;4,3796;26,5842;7,8074;29,5781;40,4434;22,9534;31,726;40,3717;36,9394;34,7897;23,6234;36,7253;36,2285;19,452;36,2423;21;32,5;31,8;32;38,9719;53,3209;42,8102;32,6481;42,3904;47,7697;55,1989;40,6794;50,2305;41,1739;46,3028;11,9707;46,3044;47,5897;20,2645;36,9882;16,6875;24,4433;18,6218;13,016;26,2045;19,7988;8,91971;35,5312;42,1865;39,0022;38,0446;27,6129;29,7453;49,9308;32,9512;35,7077;19,6007;28,6981;29,7679;26,0595;29,333;38,7159;17,592
