Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135
14.08.2016 16:00;11,2877;2,84463;3,45943;4,47727;5,37113;8,4606;2,07291;2,18871;2,88415;6,04942;1,94599;27,5227;4,62332;2,63909;3,68007;2,88446;11,9;4,3;1,4;;0,2;0,8;3,6;18,8;0,4;3,3;8,4;3,9;3,3;4,0;1,6;3,6;4,3;7,3;10,57889;2,4;6,9;5,61;4,6;;0,89529;1,78294;1,41541;1,55562;6,17098;3,77992;78,3527;15,3879;15,7034;27,7676;15,7257;11,079;4,38855;3,7932;6,97056;7,16905;10,5994;1,416;2,94;0,73;3,78;4,21;3,63;1,96;4,9;10,03;2,66;28,4;6,46;14,32;3,509921;4,93455;6,04751;2,18251;2,3;4,9;;1,3;1,83064;2,12498;7,81583;5,46248;4,3062;8,86265;4,67004;4,02261;4,1628;7,0019;3,52215;2,19243;2,30507;5,38016;;4,26164;2,76472;3,0;2,50688;6,6;1,7;4,0;4,2;7,22577;3,76452;18,3802;3,95572;7,38087;6,54913;14,6215;19,317;5,80553;11,4157;11,5612;5,51015;10,7566;5,52143;3,53826;4,06566;4,03698;4,99298;3,72028;4,0391;3,61102;1,1;;;;;;;;23,9517;6,06157;2,38177;12,2055;2,518
14.08.2016 17:00;12,2931;3,23765;4,1233;5,26331;7,73616;8,8021;2,76573;2,26572;3,05308;11,9647;2,61838;27,7723;5,06733;3,54251;3,63705;2,93492;13,8;3,6;2,1;;0,1;0,8;3,1;19,9;0,9;3,7;8,7;5,4;2,4;4,7;1,7;4,0;4,7;8,3;5,98769;2,7;8,5;5,61;5,1;;0,88839;2,52756;1,3931;2,27687;5,71316;6,0552;69,4853;23,977;14,536;32,0855;20,681;10,9552;8,25591;6,25596;18,4728;8,21906;13,1859;1,601;3,24;0,63;5,67;4,51;4,43;2,46;4,9;9,73;2,76;32,1;7,26;7,92;4,209774;;6,43497;;2,0;3,8;;1,1;;1,96936;7,03722;3,51011;3,67726;5,60535;7,578;5,01859;4,36911;6,49346;3,61265;2,215;2,35105;5,85709;;4,3737;3,15309;3,3;3,22949;7,1;1,2;5,0;4,8;14,6093;5,62978;21,9683;4,8602;5,2567;4,52772;14,1961;19,9762;6,11569;10,3848;12,3108;7,88245;11,0184;4,41831;3,86118;2,93784;7,33199;4,03857;4,2104;4,19259;4,68334;1,0;3,1115;;2,86696;1,25502;1,03159;3,82563;6,53778;24,1826;6,59321;2,63062;10,0297;0,77914
14.08.2016 18:00;9,01614;3,02786;4,30923;7,05528;9,51273;12,6877;4,53643;1,90775;4,4289;9,92642;4,58243;35,2727;5,84913;4,76566;4,4778;3,16117;13,8;8,9;2,0;;0,4;1,4;3,8;20,7;0,5;4,1;8,9;7,1;3,7;5,4;1,7;5,5;12,5;13,1;10,21542;3,1;9,6;9,63;8,6;;1,06822;4,02635;3,61846;2,42134;8,01765;6,62349;70,658;22,2913;18,233;30,1666;24,1188;10,7284;8,36131;12,5443;19,5714;9,06831;15,3619;1,91;3,34;0,93;7,938;5,81;6,03;3,06;5,6;14,03;4,76;37,6;16,46;13,82;6,309627;6,54063;6,16828;4,11185;2,3;5,6;;2,3;3,81114;2,15793;8,30445;5,7052;4,73236;8,82176;5,67888;6,20724;5,13397;8,56901;3,77288;2,14985;2,57206;5,87037;;5,05246;3,56215;3,5;3,18652;10,9;2,4;5,0;5,3;21,6369;6,30641;17,8459;6,6989;7,91651;4,88622;10,8294;20,4685;10,6465;7,89284;10,5527;7,28614;10,0306;4,40344;4,5734;6,89405;13,4276;6,74724;4,23121;4,83948;5,80026;1,1;3,12509;;2,8484;1,45693;2,40779;3,86808;7,16858;38,914;6,28198;3,25557;11,608;0,62459
14.08.2016 19:00;9,46121;5,49753;4,92275;7,52372;12,4551;13,6352;3,64276;1,38779;6,48822;10,8488;7,01916;55,5409;7,34261;10,8618;5,24472;5,97819;18,7;11,6;4,1;;1,3;1,8;7,4;35,5;0,8;9,7;14,7;13,5;6,3;12,4;2,6;8,9;18,1;21,9;17,0257;10,6;16,3;10,62;11,6;;2,26811;6,68881;5,11779;2,74;7,6241;5,92561;71,5667;30,1448;22,7475;41,987;23,5207;14,7893;11,8641;13,8652;53,535;6,91054;18,8613;2,291;3,84;2,63;17,892;6,51;11,93;4,46;9,4;18,43;6,66;59,2;18,66;40,62;11,509481;7,34049;6,37066;6,23878;;7,4;;3,7;6,32484;3,39954;8,64968;10,7359;6,66557;16,4336;4,78665;9,76823;8,43059;11,8165;4,13409;3,3474;3,2308;7,85885;;7,93158;5,63291;4,5;3,69107;14,9;4,5;8,0;5,2;37,1156;6,5964;14,3634;9,39058;12,0325;9,09793;15,1138;15,8112;14,5714;8,35225;12,2819;7,75441;11,5421;7,81636;5,92613;9,32684;7,68146;7,24648;7,61735;6,6288;9,38261;1,2;8,74913;;5,11168;2,5685;3,47306;14,3028;11,0925;43,9192;9,28382;7,62369;16,6934;1,01442
14.08.2016 20:00;8,02934;11,1544;7,10922;12,3584;14,4983;19,5284;7,51071;1,18597;5,9191;14,8764;6,7244;50,5804;11,0737;16,0273;6,94746;10,9149;23,0;13,7;5,5;;3,3;3,0;12,5;29,0;1,2;24,4;10,7;15,3;10,0;16,8;5,7;14,8;28,2;27,7;23,83598;16,0;29,4;15,9;23,9;;3,06212;15,0627;11,2537;2,9312;14,6385;6,59587;73,6555;41,3783;25,7711;53,3634;24,5972;8,67889;9,85494;29,7528;57,0482;8,74796;23,6961;3,105;7,14;3,83;30,618;11,41;29,23;4,16;8,7;32,93;11,56;75,6;56,66;48,12;18,409334;26,2682;6,00644;8,07527;4,9;15,1;;6,1;7,13251;2,52862;11,4805;9,17601;8,34264;22,1728;5,68507;15,5844;14,3667;23,1671;4,43864;3,87176;3,79537;10,2244;;9,39642;8,56476;5,9;7,54768;20,8;8,8;12,0;9,5;38,0148;6,99367;22,0257;10,6403;17,1109;15,5971;28,3571;26,7531;16,481;16,5367;27,741;12,1795;13,8937;9,06447;8,33048;10,4252;11,3668;8,56045;15,3483;16,1155;11,019;1,5;12,3329;;10,3177;9,77914;4,36896;35,0932;22,3525;42,6057;10,3636;8,34633;15,8701;1,12011
14.08.2016 21:00;6,086;20,0059;11,2803;22,1043;13,401;21,6598;9,17664;1,0824;16,2173;11,8279;9,55628;43,9898;13,7133;16,858;6,51461;20,5136;21,0;17,9;6,8;;2,8;5,8;15,0;33,9;1,7;44,7;17,9;21,5;18,0;15,5;9,4;18,2;24,2;29,2;21,34908;16,9;36,9;16,32;22,6;;4,69837;10,6145;15,7342;4,91437;11,6457;6,24587;58,8604;45,1151;34,4118;42,2594;31,6768;9,32047;22,4839;37,4704;51,5383;12,5298;21,5089;3,974;6,64;4,73;18,396;14,91;37,43;7,76;7,5;41,43;20,46;67,2;50,36;37,62;30,209187;26,5088;6,16828;7,3366;6,7;18,2;;14,4;4,76974;3,53242;14,9874;10,2239;8,50255;37,5389;7,41463;12,8896;16,3031;22,7118;5,97079;4,04124;6,61799;14,7782;;14,4508;13,5976;6,3;13,2268;16,9;8,4;16,0;8,3;36,1798;8,25187;22,8436;10,2982;23,5282;14,0484;27,3772;76,4864;17,1966;19,2512;23,1857;16,0729;20,7208;10,9579;7,56833;9,68694;14,1982;5,14169;7,95865;19,6984;9,04854;1,6;15,3875;;13,6633;8,85439;6,5012;35,0119;25,8469;41,5759;9,05438;5,8004;13,8987;1,5604
14.08.2016 22:00;4,29138;8,9949;20,3521;27,5222;11,1013;24,4322;11,6964;0,94378;15,699;8,83014;15,687;52,1337;15,8903;14,6401;9,49998;44,5395;17,0;15,1;8,4;;4,5;5,6;24,9;33,6;2,2;26,5;15,8;21,4;22,0;17,3;9,8;16,7;18,7;38,5;18,63262;14,5;26,4;16,13;19,8;;3,84031;5,21923;26,947;4,57655;12,2772;6,33456;49,3195;34,468;30,1634;23,8703;15,897;12,7291;22,067;45,4183;50,8477;28,3281;17,1575;5,34;6,24;3,33;11,34;16,71;31,93;8,16;6,5;35,03;13,06;63,7;29,26;29,82;27,40904;22,9791;5,72519;6,25449;4,3;25,5;;12,2;5,59187;3,70078;12,9634;6,00049;7,59894;31,0339;11,8592;10,8053;8,87806;22,2577;5,1248;3,15399;3,8879;12,2076;;13,4605;10,4748;7,8;8,12546;16,8;3,2;20,0;8,9;27,0484;12,5974;19,8035;10,2834;11,646;16,1229;30,7582;33,879;15,8725;11,302;23,6722;13,5695;13,2969;16,0624;7,59808;8,83981;12,3813;4,07203;5,95557;31,607;16,1782;1,6;16,6224;;6,97028;5,84465;22,1346;46,3734;33,3847;41,5409;6,8423;2,79627;10,3014;1,60024
14.08.2016 23:00;2,1186;4,10496;14,5614;22,1059;12,0663;15,2503;11,0938;0,79932;9,51022;6,99507;19,1271;51,4907;20,5806;15,9434;11,4614;27,7665;17,9;16,0;9,3;;3,4;5,9;23,2;24,4;2,5;17,4;19,1;16,9;13,4;13,2;8,2;13,2;19,4;26,4;16,96831;9,7;25,5;17,12;15,6;;3,99848;4,41088;20,6586;4,50329;7,41484;7,87585;43,216;37,7628;23,192;26,7988;16,7831;10,0433;13,8274;59,9247;47,3021;9,93926;15,3427;5,614;6,34;4,03;8,19;18,71;27,63;7,56;6,9;20,83;6,56;53,4;22,66;29,72;29,108893;17,1857;7,40793;7,81076;3,5;21,4;;12,1;5,37717;3,93713;20,631;19,1885;4,13491;17,9877;4,43216;9,7078;4,67091;11,3027;4,63451;2,89581;2,95449;7,55506;;13,268;4,43916;5,8;4,98669;17,7;3,8;10,0;8,7;28,1154;14,2056;22,2955;8,18495;15,9687;7,00748;21,5063;24,8167;14,5822;14,8557;23,6753;10,3375;9,67153;4,66528;7,26082;8,93488;9,34331;3,51808;3,7124;13,4631;10,1819;1,7;16,9307;;8,06715;6,75187;18,3283;41,3443;27,2887;18,5677;6,73248;1,61539;7,22152;1,99379
15.08.2016 00:00;2,00548;3,57916;11,8421;17,5808;14,7097;15,8245;19,3301;0,90608;8,27914;6,41935;18,6648;42,1819;27,8669;15,3077;10,8299;18,1428;17,0;11,4;9,1;;2,2;4,5;21,6;24,2;3,3;19,2;10,8;13,3;8,2;14,5;10,6;10,2;12,0;16,6;11,82234;9,7;18,9;20,54;10,2;;3,90182;4,26642;14,9699;3,02859;6,4854;7,88859;33,4743;34,0479;19,2581;22,747;9,85568;7,07493;10,9076;44,5932;34,6206;11,0937;13,3081;4,99;6,64;5,33;9,576;16,41;30,23;5,16;7,7;16,23;5,36;41,5;18,46;22,72;23,608747;12,7982;6,22616;10,8392;3,1;13,6;;21,6;5,57829;2,88234;20,5795;27,3894;4,18629;14,016;4,53753;6,21644;3,51609;4,57356;4,0619;2,53021;2,90838;6,23312;;6,73555;3,1706;4,3;4,31342;13,8;3,8;9,0;13,3;8,56853;7,65278;14,0877;6,48009;14,3944;7,21196;16,7836;20,3082;7,31891;9,8776;13,9273;6,89053;7,70536;4,5564;6,71059;5,20383;9,95568;2,61307;3,61611;7,08184;7,70058;2,1;13,1814;;10,8771;7,34155;6,80026;35,6386;27,4462;14,7534;;1,7159;9,57275;2,92802
15.08.2016 01:00;1,2906;9,53557;14,6028;10,798;15,7469;23,0072;17,867;1,01177;10,1442;4,63473;19,6277;26,1025;23,9313;11,9341;12,1842;19,6814;9,7;10,2;8,0;;2,6;4,5;21,4;18,3;3,0;20,9;6,4;12,0;7,4;12,1;7,4;8,6;9,6;13,1;9,25892;7,1;13,7;17,18;11,8;;3,23548;3,37396;12,5502;2,27256;6,10247;8,11272;27,1185;33,093;16,5834;21,1839;6,65161;6,27402;12,8776;18,4742;13,9487;7,16531;13,6134;5,216;6,94;5,73;6,678;11,71;28,73;5,76;8,4;14,13;6,26;33,1;15,26;19,32;15,2086;15,3879;6,51151;10,976;9,9;6,0;;19,9;6,16968;2,67361;15,7018;12,7584;3,90048;9,70659;3,96889;5,41681;2,80648;3,94131;3,82402;2,43593;2,99424;4,85489;;6,28676;2,77746;3,3;3,87253;8,8;3,4;13,0;9,6;8,13025;6,40892;8,29457;5,48319;11,2088;7,16681;11,6334;17,8626;8,45317;8,77365;16,7868;8,33591;10,985;5,12894;8,109;4,88569;7,95126;2,1818;4,12334;6,63111;4,69715;1,9;9,0065;;10,7081;6,53822;6,9662;18,036;28,5019;9,90352;5,14753;1,56119;10,0284;4,54153
15.08.2016 02:00;1,97998;8,0389;14,1271;7,4175;12,4854;25,3138;13,6226;1,8812;10,1792;3,97381;15,9264;17,7683;19,2544;11,4619;15,7554;11,2712;7,7;7,8;10,9;;4,0;5,4;17,4;16,0;3,0;14,2;5,7;12,6;6,8;9,7;6,7;7,8;9,1;14,1;8,7998;6,7;11,9;12,53;10,1;;1,87068;2,78255;8,30764;2,0246;5,91764;8,01234;24,2234;25,2565;17,2739;20,0011;6,21126;4,73539;14,0186;26,9408;18,2491;11,1552;7,79777;5,335;6,44;5,03;6,426;10,71;15,23;7,96;8,3;12,63;6,66;29,6;13,36;13,82;12,408453;11,4311;6,16642;12,0862;10,8;3,6;;10,2;4,90921;2,77028;11,4305;6,30588;4,24495;8,99755;3,02309;4,20055;2,60024;4,80303;3,5833;2,19956;3,05126;4,72537;;5,3929;2,69628;2,5;2,95891;7,8;2,9;8,0;7,2;8,34322;9,91372;11,9527;4,541;5,94684;7,27038;10,9818;14,2082;8,21482;5,61155;13,9236;9,11036;6,7568;6,04989;9,87601;4,44912;5,55755;1,93962;3,98596;;4,45868;1,9;9,30122;;14,1629;6,47219;5,60685;15,0304;31,0243;7,96029;5,42796;1,44186;8,04633;4,08584
15.08.2016 03:00;1,48817;9,23921;17,1486;7,59808;8,8977;16,1166;11,0871;8,73359;9,56989;3,37281;12,3696;17,4953;19,0063;17,3748;12,4726;10,7614;6,8;6,1;11,3;;3,2;4,4;5,9;14,4;2,7;13,3;4,6;8,5;6,1;8,0;6,4;7,9;9,0;11,1;9,20153;7,3;11,7;11,96;8,8;;2,69699;2,78462;7,36545;2,37778;4,62598;8,86478;20,5513;26,58;11,2325;19,7228;2,1874;5,58357;13,3318;25,0921;31,2183;9,57479;4,71202;6,329;6,24;3,73;6,174;10,21;13,93;8,46;9,0;11,93;5,86;26,9;14,16;18,22;11,508306;10,1793;7,26825;13,9128;8,3;3,9;;5,9;4,59508;2,134;;4,54153;3,52383;10,4284;2,3726;3,68888;3,79629;4,18843;3,59373;2,18701;2,90155;4,51501;;4,86944;2,66127;;2,86978;9,1;3,2;8,0;6,2;8,71553;13,5794;6,47212;4,85329;4,86739;9,39112;9,53557;13,1174;8,95012;4,75026;7,92312;7,32851;5,36582;5,75087;9,80112;4,05025;4,42894;1,66981;3,43831;;4,30572;2,3;9,15191;;26,3269;6,49564;4,3738;13,9815;16,2257;12,3536;5,9118;1,4472;7,36386;4,28288
15.08.2016 04:00;1,70858;6,91719;9,27969;7,03775;11,8825;11,8656;9,85827;10,2319;8,70695;4,16715;9,77829;23,1118;13,9868;13,5678;10,4225;7,72289;5,4;8,1;13,1;;3,3;3,7;1,4;14,3;2,9;10,0;4,9;6,6;6,4;6,2;9,2;7,0;9,1;8,7;9,16327;6,2;11,7;10,81;8,6;;2,42606;2,62156;9,30825;2,48879;4,85436;9,06288;21,1759;20,4605;14,7845;14,6098;1,82109;5,21551;9,06816;47,1122;35,3875;8,525;4,71839;6,489;6,54;3,83;8,316;10,31;14,23;9,06;8,8;10,63;6,46;25,0;21,06;12,82;13,508159;9,62373;7,09252;12,0486;7,5;4,2;;6,5;4,30581;2,53446;11,9511;4,42256;;10,3009;3,1813;4,1643;3,56534;4,62925;3,86468;2,23471;3,13646;4,8517;;4,49826;3,01143;2,3;3,33295;8,0;3,5;7,0;6,1;7,7282;16,9982;8,58647;4,80397;7,44449;15,5076;7,79777;48,3975;10,5699;4,70724;7,41484;8,23027;4,55287;4,8926;8,75908;3,53879;5,63828;1,78082;3,58189;;3,84843;2,4;6,46093;;16,9557;6,72707;2,76328;12,684;10,1831;12,6181;5,1385;1,66947;8,20673;3,86755
15.08.2016 05:00;3,82825;8,83822;9,97008;7,74466;10,5835;12,8407;8,7248;8,35013;6,47977;5,3279;9,91903;28,7166;14,776;16,1452;8,94391;10,3848;6,3;8,1;10,5;;2,9;4,7;2,1;14,3;2,4;9,7;5,0;8,3;6,7;5,2;9,2;8,6;12,9;14,7;13,48665;9,7;14,5;7,67;10,6;;2,03169;2,46329;11,7843;3,42354;4,97651;9,0172;23,1623;19,6718;16,7263;16,0358;5,19775;8,65499;9,59762;18,6489;19,3247;7,14606;;6,017;6,34;3,13;7,56;10,01;24,23;9,16;8,7;11,63;6,66;28,7;23,26;13,62;19,408012;7,94436;8,43264;11,5658;9,5;6,9;;4,5;3,71446;2,37725;12,0159;6,36277;3,61682;9,56212;5,16907;6,15487;4,95081;6,96714;3,77384;2,46114;4,75529;5,21976;;5,00094;3,81841;2,6;3,54464;8,0;4,7;6,0;7,6;9,13033;18,4616;12,5656;5,72635;10,1349;15,5663;12,6835;31,7599;15,2481;5,67014;10,0577;6,92884;10,6848;5,81089;8,94694;4,55056;6,87311;2,09098;3,59996;;3,84418;2,9;7,19337;;16,1844;7,90213;3,43928;12,5656;11,7416;20,2258;6,34518;1,89441;7,89072;3,34228
15.08.2016 06:00;4,22605;10,1251;17,1362;5,02856;5,76309;13,3574;8,32367;6,81681;6,90869;7,46767;9,5084;21,587;15,6715;16,6944;7,62053;10,73;6,7;8,9;8,2;;2,7;2,5;3,7;15,7;1,9;8,2;4,7;7,8;6,2;6,6;8,8;11,2;12,8;22,1;14,21359;8,3;14,8;9,58;10,7;;2,43042;2,54084;7,6634;2,75487;6,05945;7,50672;33,502;19,6469;15,8515;18,411;3,49857;8,34216;9,69366;7,60976;5,62576;11,8658;11,6101;5,559;5,64;2,53;8,064;8,31;22,83;7,86;9,2;11,93;5,26;34,6;18,86;12,82;24,007866;10,09;8,86043;13,1207;9,8;7,1;;3,1;3,42077;1,87801;12,5873;7,81211;3,47288;10,3662;5,28986;5,96877;5,01029;6,98499;3,76538;2,64048;3,75837;4,47514;;7,61932;3,80249;2,2;3,18015;8,8;5,6;7,0;6,6;13,9725;14,5823;17,8487;5,76185;10,0303;10,3429;14,4404;41,6566;9,89944;9,55097;11,0407;8,90154;10,9398;4,72689;7,45398;3,18348;6,23578;2,59873;3,03983;;5,51134;2,9;5,86556;;10,3291;6,03511;3,58826;9,38048;11,9571;24,0062;7,76431;1,99058;8,37286;2,68211
15.08.2016 07:00;4,74282;6,29048;10,6746;3,81816;4,6196;10,4868;6,60648;5,66855;7,74603;8,4537;15,7708;17,1522;14,5519;10,8155;9,56106;8,8499;3,6;4,5;4,6;;1,6;2,5;3,6;11,2;1,6;4,5;6,3;8,7;5,5;7,3;8,8;9,0;8,3;5,6;10,19629;6,1;8,1;7,94;8,5;;2,8637;3,48568;3,01777;2,38044;6,83274;7,41803;32,5507;13,264;15,1983;17,276;1,662;7,55718;9,55934;5,60269;3,66788;10,5674;13,9865;3,427;7,34;1,73;6,93;8,71;11,83;6,76;7,4;11,43;2,86;32,2;15,36;14,42;16,907719;10,6759;8,26486;8,85876;8,9;4,5;;1,7;2,95575;2,12073;10,7555;9,50211;3,1805;6,90232;5,05483;3,79811;3,68217;5,49213;3,64106;2,59453;2,97186;4,65466;;7,77368;2,81566;2,4;3,02576;5,9;5,9;6,0;5,0;9,27957;16,3125;25,3109;4,59517;8,36764;8,53655;12,2336;18,428;8,37654;6,55869;6,60218;9,04137;9,69278;3,76611;8,16265;3,1617;4,36945;3,02308;2,48045;;5,1778;2,6;5,99866;;6,01488;4,56768;2,51282;8,56523;8,58123;20,8498;7,02448;1,85018;7,16681;2,3029
15.08.2016 08:00;2,89456;2,95192;5,29309;3,77779;5,09229;10,3774;4,55879;7,47592;5,30698;17,0646;14,9706;15,0761;9,67313;7,09777;5,49222;8,54823;4,7;4,8;1,9;;0,4;1,7;1,8;10,1;1,2;1,9;17,8;5,0;3,2;7,9;7,0;6,3;6,2;6,3;7,67113;2,2;6,5;5,61;6,8;;2,53685;3,29979;2,32733;1,59386;6,76423;6,21134;35,2313;9,96046;10,6647;13,1769;3,5908;6,04989;8,81664;3,78576;2,42235;11,062;9,11958;2,514;6,64;1,63;4,536;8,71;10,03;3,96;5,4;7,93;2,06;24,0;9,16;7,72;15,207572;16,6631;6,80009;6,31325;7,3;2,6;;1,2;3,84192;1,83552;8,81804;5,48585;3,28462;5,60269;8,19032;3,04012;2,73263;3,62929;3,51577;;2,54987;3,51171;;4,71361;2,32861;2,2;2,83317;5,9;3,6;5,0;2,4;6,9942;22,3205;9,02305;3,77726;6,04877;6,88161;8,5631;18,1682;5,68074;5,72856;5,83906;11,3298;6,32128;2,33158;6,77881;4,62067;3,83993;4,63926;2,58363;;3,75177;2,3;4,85569;;3,60011;3,39592;1,8934;2,95056;4,09276;12,9878;7,74785;2,03154;7,52497;2,33901
15.08.2016 09:00;3,94456;2,48985;3,88583;3,39699;6,33987;8,6911;3,0723;4,32537;2,70518;14,1967;3,74274;15,8367;7,10733;5,01103;3,08363;11,7721;4,1;3,6;0,9;;0,4;1,0;0,8;12,3;0,6;1,0;9,3;3,0;1,7;7,4;4,8;4,2;4,5;3,3;5,98769;1,9;4,0;5,04;5,5;;1,6986;1,74736;1,62679;0,95334;6,342;5,53577;31,5884;8,02344;8,92267;12,0812;1,89372;6,31916;8,03713;3,5781;1,36414;9,48192;8,79908;1,875;5,64;1,03;4,158;7,81;4,43;2,26;4,7;6,03;1,56;20,8;7,46;7,22;9,107425;20,8498;5,38277;3,09852;4,5;1,5;;0,3;5,1611;2,70814;7,56568;10,7322;3,4992;4,12461;;2,55085;2,65819;3,57726;3,387;2,80524;;4,37104;;4,57765;2,34771;2,864;2,08667;3,3;3,4;3,0;1,1;6,89223;10,4496;14,809;2,262;2,77429;4,40344;5,65208;8,64448;4,46067;3,53667;5,10398;8,40742;4,3289;2,13878;3,90738;5,64571;4,76725;2,09311;2,43828;;2,96148;1,9;2,4416;;2,03528;2,65988;1,30078;2,64364;2,42151;15,0289;7,17584;2,30304;4,92181;3,78576
15.08.2016 10:00;4,81399;2,09948;2,88074;3,29448;2,64865;5,10238;1,65212;2,95192;1,36216;5,23129;2,77081;12,6877;4,9558;2,72566;3,15586;10,5665;6,6;4,3;1,4;;2,9;0,7;1,0;8,9;0,6;0,9;6,0;2,6;0,1;4,1;2,5;2,6;3,6;4,1;4,68685;1,6;3,2;4,05;4,4;;1,14858;1,3623;0,21191;1,04257;4,29666;5,89374;29,7141;6,03149;7,61932;9,43838;1,4761;8,48556;6,38575;2,39;1,24842;4,44939;7,7428;2,403;5,04;0,93;4,284;5,81;3,53;2,76;5,2;5,73;1,16;24,4;7,86;8,82;5,507278;8,8345;4,68183;2,81422;3,5;0,9;;0,5;2,58634;2,80852;7,77865;10,686;4,81402;3,55951;3,14463;3,41135;2,98101;3,44003;3,40212;2,5671;2,29565;4,25739;;6,24693;2,45276;2,5;2,26972;2,2;1,0;5,0;1,7;3,58234;5,30739;14,2274;1,85464;1,33495;2,97582;5,15443;23,3413;3,84478;3,18826;3,22066;4,89035;2,90783;1,48552;6,00209;3,33538;8,5254;2,38363;4,07417;;3,92704;1,2;0,86667;;0,77621;1,66317;0,74557;2,83075;2,63157;15,868;7,99216;1,69037;5,41021;1,94546
15.08.2016 11:00;4,9234;1,55669;3,35907;2,19455;2,56952;4,15116;1,21935;2,90412;1,40856;3,3787;3,59881;13,9592;4,63023;2,55146;2,61732;11,4051;8,0;3,7;1,4;;0,4;0,9;5,2;10,6;0,4;1,1;4,7;2,2;2,9;2,2;1,6;3,6;4,7;4,9;5,20336;1,5;4,6;4,2;4,9;;0,9602;1,48446;0,14074;0,78498;3,02128;3,76345;37,0556;8,81705;8,18973;10,7619;6,72233;10,1644;5,1836;3,12824;2,76581;3,60543;4,71839;2,323;4,04;0,83;3,528;4,11;3,43;2,86;5,0;6,53;1,46;27,7;5,16;8,42;3,507132;6,9395;4,67802;3,40841;2,4;1,5;;0,8;4,26448;2,56571;5,98031;11,3015;3,94016;2,60519;4,09259;4,66715;3,40653;5,25513;3,43292;3,01531;2,54624;5,14116;;5,7172;2,91753;2,8;2,80929;2,8;1,7;6,0;1,3;2,62741;3,6976;13,6161;2,01266;1,33178;2,48454;3,6652;18,2893;6,19268;3,11762;2,47816;3,75287;2,03522;1,41966;3,00396;2,12073;4,31528;1,90934;4,89945;;2,69804;1,0;0,95585;;0,53415;1,64116;0,663;2,83773;1,96856;13,9518;6,55763;1,89671;8,87327;1,85676
15.08.2016 12:00;9,40651;1,97361;2,93054;2,42452;3,22278;4,04441;1,91779;1,56572;1,62892;5,44817;6,63517;16,0714;4,60845;2,8133;2,78037;5,19852;10,7;5,0;1,7;;3,8;0,8;3,3;8,8;0,3;1,3;5,3;2,0;1,6;2,8;0,9;5,4;5,0;9,2;5,52857;2,0;3,5;4,2;4,1;;0,6948;1,32194;0,12853;0,76161;3,41092;3,1155;38,1736;10,1108;8,84088;13,9119;5,80103;4,41619;4,4589;3,20791;2,44948;4,11754;6,30907;1,464;3,84;0,63;3,402;3,51;2,53;2,06;4,7;7,73;1,76;34,8;6,06;15,12;3,506985;7,48814;4,71295;3,05005;2,3;2,5;;0,9;4,74823;2,2944;5,8879;2,36716;3,3064;3,29717;3,30819;5,09788;2,57072;4,77478;3,42795;2,84304;2,4108;5,79336;;6,4939;3,07192;2,8;2,91434;5,8;0,7;5,0;1,4;2,36929;3,71353;15,3098;2,06921;1,36696;2,3507;4,43956;12,5682;6,50971;2,21102;3,01884;4,09563;1,86726;1,51197;2,95428;1,50729;1,77285;2,6768;4,18103;;4,61482;1,0;1,23462;;1,35108;1,57327;1,04349;2,20305;4,99195;21,6964;5,62659;2,39645;8,13078;1,52854
15.08.2016 13:00;9,16167;4,09434;2,5902;2,97582;3,7523;4,36892;0,26833;1,61723;2,21815;6,86428;2,99387;21,3321;4,40238;3,21747;2,81914;4,39441;7,2;3,9;1,8;;1,3;0,6;7,2;11,2;0,4;1,2;4,9;5,7;0,2;3,1;0,7;4,2;4,3;7,2;5,03119;0,8;5,3;4,76;3,7;;0,77812;1,70805;0,00531;0,84181;4,44902;2,77187;45,6283;10,9457;9,4883;15,3555;4,2329;3,69919;3,63317;2,54933;3,90177;4,90909;5,06255;1,162;3,14;0,43;4,032;5,01;3,53;2,46;4,9;7,83;2,26;43,1;10,66;17,52;7,006838;6,02492;5,00759;3,11963;1,7;3,3;;1,3;2,30747;1,82543;6,13274;3,12081;3,02474;2,77134;2,353;3,99127;2,56082;3,85959;3,43415;3,33851;2,3754;5,13956;;4,53038;3,3998;2,9;4,75272;3,8;1,4;3,0;2,5;3,50321;3,3221;19,7387;2,25233;1,83766;2,64387;5,1555;26,9799;5,86051;3,13356;2,42665;4,31917;1,60342;1,90115;2,7963;2,15206;1,6167;3,91323;2,57295;;5,26915;1,0;1,84603;;2,575;1,71618;0,94714;3,37929;2,49355;18,0143;6,50824;1,91498;11,1613;1,05054
